ticker,close,volume,change_%,value_traded,hhi_score,foreign_ratio,rvol_ratio,pct_rvol,pct_hhi_mom,pct_flow,leading_score,pct_change,quant_score,prev_quant_score,score_diff
KARTN,172.1,691456,0.7611241217798494,118999577.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,54.0,50.96,50.96,0.0
PAHOL,1.33,152774078,0.7575757575757582,203189523.74,0.0,0.0,1.0,50.2,50.2,50.2,50.2,53.6,50.88,51.28,-0.3999999999999986
CIMSA,45.98,6180434,0.7449605609114731,284176355.32,0.0,0.0,1.0,50.2,50.2,50.2,50.2,53.2,50.800000000000004,51.6,-0.7999999999999972
MARTI,1.4,138002142,0.7194244604316554,193202998.79999998,0.0,0.0,1.0,50.2,50.2,50.2,50.2,52.800000000000004,50.720000000000006,50.720000000000006,0.0
BTCIM,4.7,110932963,0.6423982869379069,521384926.1,0.0,0.0,1.0,50.2,50.2,50.2,50.2,52.400000000000006,50.64,43.44,7.200000000000003
ENJSA,111.1,2680229,0.6340579710144824,297773441.9,0.0,0.0,1.0,50.2,50.2,50.2,50.2,52.0,50.56,52.32,-1.759999999999998
RGYAS,208.8,2307601,0.626506024096391,481827088.8,0.0,0.0,1.0,50.2,50.2,50.2,50.2,51.6,50.480000000000004,52.88,-2.3999999999999986
GRTHO,221.3,630510,0.5909090909090962,139531863.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,51.2,50.400000000000006,46.16,4.240000000000009
QUICK,71.3,11856536,0.5641748942171952,845371016.8,0.0,0.0,1.0,50.2,50.2,50.2,50.2,50.8,50.32,40.8,9.520000000000003
ARCLK,93.0,1241082,0.5405405405405406,115420626.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,50.4,50.24,48.64,1.6000000000000014
KRDMD,45.22,52204464,0.533570475767012,2360685862.08,0.0,0.0,1.0,50.2,50.2,50.2,50.2,50.0,50.160000000000004,47.92,2.240000000000002
JANTS,15.93,6306147,0.5047318611987386,100456921.71,0.0,0.0,1.0,50.2,50.2,50.2,50.2,49.6,50.080000000000005,41.92,8.160000000000004
EFOR,20.0,45514917,0.5025125628140775,910298340.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,49.2,50.0,56.56,-6.560000000000002
KATMR,2.12,66135869,0.47393364928911047,140868122.97,0.0,0.0,1.0,50.2,50.2,50.2,50.2,48.8,49.92,52.96,-3.039999999999999
GRSEL,320.0,322727,0.47095761381475665,103272640.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,48.4,49.84,42.8,7.040000000000006
DOHOL,21.7,8312556,0.46296296296295303,180382465.2,0.0,0.0,1.0,50.2,50.2,50.2,50.2,48.0,49.760000000000005,53.52,-3.759999999999998
FRMPL,35.36,3409599,0.4545454545454448,120563420.64,0.0,0.0,1.0,50.2,50.2,50.2,50.2,47.599999999999994,49.68,43.36,6.32
SASA,2.33,2364915716,0.43103448275863065,5510253618.28,0.0,0.0,1.0,50.2,50.2,50.2,50.2,47.199999999999996,49.6,54.56,-4.960000000000001
MASFN,43.82,18082020,0.412465627864344,792354116.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,46.800000000000004,49.52,41.2,8.32
MAVI,38.24,2836844,0.3674540682414713,108480914.56,0.0,0.0,1.0,50.2,50.2,50.2,50.2,46.400000000000006,49.440000000000005,52.48,-3.039999999999992
VESTL,22.08,7421210,0.3636363636363559,163860316.79999998,0.0,0.0,1.0,50.2,50.2,50.2,50.2,46.0,49.36,45.6,3.759999999999998
AHGAZ,33.48,4955447,0.35971223021581966,165908365.55999997,0.0,0.0,1.0,50.2,50.2,50.2,50.2,45.6,49.28,49.28,0.0
ENERY,8.86,19892702,0.3397508493771162,176249339.72,0.0,0.0,1.0,50.2,50.2,50.2,50.2,45.2,49.2,46.48,2.720000000000006
DMRGD,11.23,22731731,0.267857142857153,255277339.13,0.0,0.0,1.0,50.2,50.2,50.2,50.2,44.800000000000004,49.120000000000005,47.68000000000001,1.4399999999999977
EREGL,38.24,162724440,0.26219192448872947,6222582585.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,44.4,49.040000000000006,48.96,0.0800000000000054
AAGYO,13.14,8728844,0.22883295194508876,114697010.16000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,44.0,48.96,53.6,-4.640000000000001
TNZTP,29.06,3427913,0.20689655172413352,99615151.78,0.0,0.0,1.0,50.2,50.2,50.2,50.2,43.6,48.88,48.88,0.0
INVES,831.5,171465,0.18072289156626506,142573147.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,43.2,48.800000000000004,58.080000000000005,-9.280000000000001
BSOKE,33.54,14018719,0.11940298507462432,470187835.26,0.0,0.0,1.0,50.2,50.2,50.2,50.2,42.8,48.72,42.72,6.0
SELEC,287.25,2570574,0.08710801393728224,738397381.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,42.4,48.64,51.68,-3.039999999999999
KGYO,12.91,13370845,0.07751937984495957,172617608.95,0.0,0.0,1.0,50.2,50.2,50.2,50.2,42.0,48.56,56.8,-8.239999999999995
PGSUS,149.6,8515817,0.06688963210701962,1273966223.2,0.0,0.0,1.0,50.2,50.2,50.2,50.2,41.6,48.480000000000004,47.84,0.6400000000000006
MAGEN,34.76,7917327,0.05757052389175596,275206286.52,0.0,0.0,1.0,50.2,50.2,50.2,50.2,41.199999999999996,48.400000000000006,42.88,5.520000000000003
LIDER,36.3,40428822,0.0551267916207167,1467566238.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,40.8,48.32,40.48,7.840000000000003
ADESE,0.87,154715152,0.0,134602182.24,0.0,0.0,1.0,50.2,50.2,50.2,50.2,40.0,48.160000000000004,48.28,-0.11999999999999744
TRHOL,2560.0,652393,0.0,1670126080.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,40.0,48.160000000000004,57.84,-9.68
EUPWR,93.0,16844766,0.0,1566563238.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,40.0,48.160000000000004,46.96,1.2000000000000028
THYAO,300.75,54146217,-0.08305647840531562,16284474762.75,0.0,0.0,1.0,50.2,50.2,50.2,50.2,39.2,48.0,47.760000000000005,0.23999999999999488
IZENR,8.41,31507260,-0.11876484560569818,264976056.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,38.800000000000004,47.92,45.36,2.5600000000000023
ENKAI,83.15,10233232,-0.12012012012011328,850893240.8000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,38.4,47.84,50.16,-2.319999999999993
ODAS,7.11,37315471,-0.1404494382022442,265312998.81,0.0,0.0,1.0,50.2,50.2,50.2,50.2,38.0,47.760000000000005,46.56,1.2000000000000028
SOKM,58.9,4719476,-0.16949152542373122,277977136.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,37.6,47.68000000000001,54.8,-7.11999999999999
KMPUR,21.5,4717489,-0.1857010213556135,101426013.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,37.2,47.6,57.52,-9.920000000000002
MEGMT,52.4,8169463,-0.19047619047619319,428079861.2,0.0,0.0,1.0,50.2,50.2,50.2,50.2,36.8,47.52,44.72,2.8000000000000043
MIATK,30.18,10048164,-0.19841269841269418,303253589.52,0.0,0.0,1.0,50.2,50.2,50.2,50.2,36.4,47.44,46.24,1.1999999999999957
CVKMD,16.18,37954794,-0.24660912453760264,614108566.92,0.0,0.0,1.0,50.2,50.2,50.2,50.2,36.0,47.36,43.68,3.6799999999999997
FROTO,80.0,17232587,-0.24937655860349484,1378606960.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,35.6,47.28,51.2,-3.9200000000000017
SISE,39.8,41528432,-0.2506265664160437,1652831593.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,35.199999999999996,47.2,47.36,-0.1599999999999966
ESEN,3.58,30353793,-0.27855153203342026,108666578.94,0.0,0.0,1.0,50.2,50.2,50.2,50.2,34.8,47.120000000000005,43.92,3.200000000000003
SURGY,33.18,6384364,-0.3004807692307735,211833197.52,0.0,0.0,1.0,50.2,50.2,50.2,50.2,34.4,47.040000000000006,42.400000000000006,4.640000000000001
GSDDE,14.55,7984019,-0.41067761806980646,116167476.45,0.0,0.0,1.0,50.2,50.2,50.2,50.2,34.0,46.96,58.720000000000006,-11.760000000000005
CWENE,36.22,67049390,-0.4945054945054937,2428528905.7999997,0.0,0.0,1.0,50.2,50.2,50.2,50.2,33.6,46.88,43.120000000000005,3.759999999999998
ISMEN,32.7,8917758,-0.5474452554744517,291610686.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,33.2,46.800000000000004,50.56,-3.759999999999998
AYDEM,27.44,4376952,-0.5797101449275368,120103562.88000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,32.800000000000004,46.72,53.36,-6.640000000000001
ALKLC,423.75,4695431,-0.5865102639296188,1989688886.25,0.0,0.0,1.0,50.2,50.2,50.2,50.2,32.4,46.64,46.72,-0.0799999999999983
LMKDC,24.76,4840016,-0.6420545746388449,119838796.16000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,32.0,46.56,46.56,0.0
