ticker,close,volume,value_traded,change_%,hhi_score,foreign_ratio,quant_score,tarih,high,low,prev_quant_score,score_diff
LINK,5.66,8087230.0,45773721.800000004,1.2522361359570713,0.0,0.0,16.710433479971947,2026-08-26,5.72,5.59,0.0,16.710433479971947
KAPLM,427.75,100964.0,43187351.0,1.242603550295858,0.0,0.0,16.709149431937835,2026-08-26,448.25,424.75,0.0,16.709149431937835
SANFM,10.93,4660113.0,50935035.089999996,1.2037037037036944,0.0,0.0,16.703963984162506,2026-08-26,11.12,10.73,0.0,16.703963984162506
IHLAS,1.07,111795191.0,119620854.37,0.9433962264150951,0.0,0.0,16.66926433992559,2026-08-26,1.09,1.06,0.0,16.66926433992559
ISDMR,54.0,838783.0,45294282.0,0.7462686567164152,0.0,0.0,16.642986736953866,2026-08-26,54.55,53.5,0.0,16.642986736953866
KZBGY,2.0,21606316.0,43212632.0,0.0,0.0,0.0,16.54350724000152,2026-08-26,2.01,1.95,0.0,16.54350724000152
FRIGO,2.45,64407294.0,157797870.3,1.6597510373443998,0.0,0.0,13.889842298391487,2026-08-26,2.5,2.41,0.0,13.889842298391487
KPEKS,120.9,54197392.0,6552464692.8,-3.2799999999999954,0.0,0.0,13.225369163136508,2026-08-26,132.9,112.5,0.0,13.225369163136508
IZFAS,58.15,4938333.0,287164063.95,8.59010270774977,0.0,0.0,13.158316999969795,2026-08-26,58.9,54.55,0.0,13.158316999969795
TAVHL,286.25,4575500.0,1309736875.0,0.35056967572305,0.0,0.0,13.11023122300314,2026-08-26,293.0,284.5,0.0,13.11023122300314
BSOKE,32.86,11806097.0,387948347.42,-0.06082725060828201,0.0,0.0,12.716447142426178,2026-08-26,33.2,32.48,0.0,12.716447142426178
PGSUS,154.3,9509291.0,1467283601.3000002,2.7981345769487125,0.0,0.0,11.706607110267312,2026-08-26,155.0,151.3,0.0,11.706607110267312
ZGYO,30.98,13498763.0,418191677.74,-2.639849151477058,0.0,0.0,10.000675623887314,2026-08-26,32.86,30.8,0.0,10.000675623887314
ISMEN,33.28,6839698.0,227625149.44,3.097893432465923,0.0,0.0,5.436801238537253,2026-08-26,33.42,32.28,0.0,5.436801238537253
GARAN,136.0,38036592.0,5172976512.0,2.5641025641025683,0.0,0.0,1.5488220265964623,2026-08-26,137.3,133.1,0.0,1.5488220265964623
ISVEA,84.2,4416949.0,371907105.8,9.993468321358597,0.0,0.0,1.442808317083953,2026-08-26,84.2,84.2,0.0,1.442808317083953
BAHKM,144.6,1035481.0,149730552.6,9.961977186311783,0.0,0.0,1.2340063182691399,2026-08-26,144.6,129.7,0.0,1.2340063182691399
MRGYO,1.44,42927640.0,61815801.599999994,3.5971223021582768,0.0,0.0,0.9957541175521719,2026-08-26,1.45,1.39,0.0,0.9957541175521719
ZERGY,10.21,17383544.0,177485984.24,6.35416666666668,0.0,0.0,0.9627414865245753,2026-08-26,10.34,9.5,0.0,0.9627414865245753
YIGIT,22.32,3185028.0,71089824.96000001,3.3333333333333277,0.0,0.0,0.8815740380813186,2026-08-26,22.78,21.5,0.0,0.8815740380813186
PAHOL,1.34,67357904.0,90259591.36,1.5151515151515165,0.0,0.0,0.829055807671338,2026-08-26,1.34,1.31,0.0,0.829055807671338
LMKDC,24.74,2799341.0,69255696.33999999,2.146985962014862,0.0,0.0,0.7806706672366247,2026-08-26,24.82,24.24,0.0,0.7806706672366247
AKSEN,83.25,3196721.0,266127023.25,2.398523985239856,0.0,0.0,0.7488809846187684,2026-08-26,83.3,81.35,0.0,0.7488809846187684
TARKM,544.0,188585.0,102590240.0,4.114832535885168,0.0,0.0,0.7474575363275919,2026-08-26,549.5,510.0,0.0,0.7474575363275919
ECZYT,325.25,130327.0,42388856.75,0.5409582689335394,0.0,0.0,0.7404926628733995,2026-08-26,327.0,323.75,0.0,0.7404926628733995
RGYAS,211.6,780028.0,165053924.79999998,1.002386634844866,0.0,0.0,0.7403895477598831,2026-08-26,212.4,208.7,0.0,0.7403895477598831
HLGYO,4.59,33334106.0,153003546.54,2.2271714922048917,0.0,0.0,0.740386416727126,2026-08-26,4.67,4.49,0.0,0.740386416727126
ARCLK,93.75,1020780.0,95698125.0,1.570964247020588,0.0,0.0,0.7342336806306612,2026-08-26,93.85,92.35,0.0,0.7342336806306612
CIMSA,47.12,7028428.0,331179527.35999995,2.7027027027026915,0.0,0.0,0.7296185575131483,2026-08-26,47.48,46.24,0.0,0.7296185575131483
AKFIS,18.58,13137675.0,244098001.49999997,1.641137855579853,0.0,0.0,0.7272205680294634,2026-08-26,18.71,18.09,0.0,0.7272205680294634
EREGL,39.06,130170413.0,5084456331.780001,2.144351464435147,0.0,0.0,0.7241607995424728,2026-08-26,39.3,38.26,0.0,0.7241607995424728
ENKAI,85.45,11752800.0,1004276760.0,1.786777843954735,0.0,0.0,0.7155581142779105,2026-08-26,86.45,83.95,0.0,0.7155581142779105
AAGYO,13.22,3167027.0,41868096.940000005,1.7705927636643606,0.0,0.0,0.7078126623771142,2026-08-26,13.29,12.98,0.0,0.7078126623771142
GSRAY,1.13,136338379.0,154062368.26999998,0.8928571428571237,0.0,0.0,0.7038373365246566,2026-08-26,1.14,1.12,0.0,0.7038373365246566
EGGUB,113.2,517468.0,58577377.6,1.9819819819819846,0.0,0.0,0.69501330643017,2026-08-26,113.9,111.0,0.0,0.69501330643017
THYAO,309.0,39563181.0,12225022929.0,2.1487603305785123,0.0,0.0,0.6895581759686664,2026-08-26,310.5,304.75,0.0,0.6895581759686664
SISE,40.7,37817957.0,1539190849.9,2.5188916876574305,0.0,0.0,0.6767608869129397,2026-08-26,40.86,39.86,0.0,0.6767608869129397
AKBNK,74.35,124990547.0,9293047169.449999,3.263888888888881,0.0,0.0,0.674522340959199,2026-08-26,74.85,72.4,0.0,0.674522340959199
